Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, AffiliationEntry
Q1.2, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1044/paper-01.pdf, AffiliationEntry
Q1.3, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper1.pdf, AffiliationEntry
Q1.4, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper6.pdf, AffiliationEntry
Q1.5, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, AffiliationEntry
Q1.6, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1215/paper-05.pdf, AffiliationEntry
Q1.7, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1303/paper_4.pdf, AffiliationEntry
Q1.8, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_11.pdf, AffiliationEntry
Q1.9, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_13.pdf, AffiliationEntry
Q1.10, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, AffiliationEntry
Q1.11, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_4.pdf, AffiliationEntry
Q1.12, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper15.pdf, AffiliationEntry
Q1.13, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper3.pdf, AffiliationEntry
Q1.14, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper8.pdf, AffiliationEntry
Q1.15, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf, AffiliationEntry
Q1.16, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf, AffiliationEntry
Q1.17, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf, AffiliationEntry
Q1.18, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf, AffiliationEntry
Q1.19, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf, AffiliationEntry
Q1.20, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, AffiliationEntry
Q1.21, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, AffiliationEntry
Q1.22, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-03.pdf, AffiliationEntry
Q1.23, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-04.pdf, AffiliationEntry
Q1.24, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-07.pdf, AffiliationEntry
Q1.25, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf, AffiliationEntry
Q1.26, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1531/paper2.pdf, AffiliationEntry
Q1.27, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1531/paper4.pdf, AffiliationEntry
Q1.28, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1531/paper8.pdf, AffiliationEntry
Q1.29, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf, AffiliationEntry
Q1.30, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf, AffiliationEntry
Q1.31, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf, AffiliationEntry
Q1.32, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1558/paper5.pdf, AffiliationEntry
Q1.33, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1558/paper9.pdf, AffiliationEntry
Q1.34, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1559/paper04.pdf, AffiliationEntry
Q1.35, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1559/paper05.pdf, AffiliationEntry
Q1.36, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1559/paper07.pdf, AffiliationEntry
Q1.37, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1560/paper2.pdf, AffiliationEntry
Q1.38, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf, AffiliationEntry
Q1.39, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf, AffiliationEntry
Q1.40, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1567/paper2.pdf, AffiliationEntry
Q2.1, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1006/paper2.pdf, CountryEntry
Q2.2, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1044/paper-01.pdf, CountryEntry
Q2.3, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1116/paper1.pdf, CountryEntry
Q2.4, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1116/paper6.pdf, CountryEntry
Q2.5, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, CountryEntry
Q2.6, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1215/paper-05.pdf, CountryEntry
Q2.7, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1303/paper_4.pdf, CountryEntry
Q2.8, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1313/paper_11.pdf, CountryEntry
Q2.9, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1313/paper_13.pdf, CountryEntry
Q2.10, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, CountryEntry
Q2.11, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1313/paper_4.pdf, CountryEntry
Q2.12, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1315/paper15.pdf, CountryEntry
Q2.13, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1315/paper3.pdf, CountryEntry
Q2.14, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1315/paper8.pdf, CountryEntry
Q2.15, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf, CountryEntry
Q2.16, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf, CountryEntry
Q2.17, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf, CountryEntry
Q2.18, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf, CountryEntry
Q2.19, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf, CountryEntry
Q2.20, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, CountryEntry
Q2.21, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, CountryEntry
Q2.22, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper-03.pdf, CountryEntry
Q2.23, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper-04.pdf, CountryEntry
Q2.24, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper-07.pdf, CountryEntry
Q2.25, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf, CountryEntry
Q2.26, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1531/paper2.pdf, CountryEntry
Q2.27, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1531/paper4.pdf, CountryEntry
Q2.28, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1531/paper8.pdf, CountryEntry
Q2.29, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf, CountryEntry
Q2.30, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf, CountryEntry
Q2.31, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf, CountryEntry
Q2.32, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1558/paper5.pdf, CountryEntry
Q2.33, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1558/paper9.pdf, CountryEntry
Q2.34, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1559/paper04.pdf, CountryEntry
Q2.35, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1559/paper05.pdf, CountryEntry
Q2.36, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1559/paper07.pdf, CountryEntry
Q2.37, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1560/paper2.pdf, CountryEntry
Q2.38, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf, CountryEntry
Q2.39, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf, CountryEntry
Q2.40, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1567/paper2.pdf, CountryEntry
Q3.1, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1006/paper2.pdf, URLEntry
Q3.2, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1044/paper-01.pdf, URLEntry
Q3.3, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1116/paper1.pdf, URLEntry
Q3.4, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1116/paper6.pdf, URLEntry
Q3.5, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, URLEntry
Q3.6, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1215/paper-05.pdf, URLEntry
Q3.7, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1303/paper_4.pdf, URLEntry
Q3.8, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1313/paper_11.pdf, URLEntry
Q3.9, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1313/paper_13.pdf, URLEntry
Q3.10, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, URLEntry
Q3.11, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1313/paper_4.pdf, URLEntry
Q3.12, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1315/paper15.pdf, URLEntry
Q3.13, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1315/paper3.pdf, URLEntry
Q3.14, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1315/paper8.pdf, URLEntry
Q3.15, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf, URLEntry
Q3.16, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf, URLEntry
Q3.17, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf, URLEntry
Q3.18, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf, URLEntry
Q3.19, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf, URLEntry
Q3.20, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, URLEntry
Q3.21, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, URLEntry
Q3.22, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper-03.pdf, URLEntry
Q3.23, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper-04.pdf, URLEntry
Q3.24, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1405/paper-07.pdf, URLEntry
Q3.25, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf, URLEntry
Q3.26, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1531/paper2.pdf, URLEntry
Q3.27, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1531/paper4.pdf, URLEntry
Q3.28, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1531/paper8.pdf, URLEntry
Q3.29, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf, URLEntry
Q3.30, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf, URLEntry
Q3.31, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf, URLEntry
Q3.32, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1558/paper5.pdf, URLEntry
Q3.33, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1558/paper9.pdf, URLEntry
Q3.34, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1559/paper04.pdf, URLEntry
Q3.35, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1559/paper05.pdf, URLEntry
Q3.36, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1559/paper07.pdf, URLEntry
Q3.37, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1560/paper2.pdf, URLEntry
Q3.38, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf, URLEntry
Q3.39, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf, URLEntry
Q3.40, Identify the supplementary material(s) for the paper http://ceur-ws.org/Vol-1567/paper2.pdf, URLEntry
Q4.1, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, DocumentComponentEntry
Q4.2, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1044/paper-01.pdf, DocumentComponentEntry
Q4.3, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1116/paper1.pdf, DocumentComponentEntry
Q4.4, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1116/paper6.pdf, DocumentComponentEntry
Q4.5, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, DocumentComponentEntry
Q4.6, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1215/paper-05.pdf, DocumentComponentEntry
Q4.7, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1303/paper_4.pdf, DocumentComponentEntry
Q4.8, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1313/paper_11.pdf, DocumentComponentEntry
Q4.9, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1313/paper_13.pdf, DocumentComponentEntry
Q4.10, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, DocumentComponentEntry
Q4.11, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1313/paper_4.pdf, DocumentComponentEntry
Q4.12, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1315/paper15.pdf, DocumentComponentEntry
Q4.13, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1315/paper3.pdf, DocumentComponentEntry
Q4.14, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1315/paper8.pdf, DocumentComponentEntry
Q4.15, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf, DocumentComponentEntry
Q4.16, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf, DocumentComponentEntry
Q4.17, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf, DocumentComponentEntry
Q4.18, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf, DocumentComponentEntry
Q4.19, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf, DocumentComponentEntry
Q4.20, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, DocumentComponentEntry
Q4.21, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, DocumentComponentEntry
Q4.22, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper-03.pdf, DocumentComponentEntry
Q4.23, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper-04.pdf, DocumentComponentEntry
Q4.24, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1405/paper-07.pdf, DocumentComponentEntry
Q4.25, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf, DocumentComponentEntry
Q4.26, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1531/paper2.pdf, DocumentComponentEntry
Q4.27, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1531/paper4.pdf, DocumentComponentEntry
Q4.28, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1531/paper8.pdf, DocumentComponentEntry
Q4.29, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf, DocumentComponentEntry
Q4.30, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf, DocumentComponentEntry
Q4.31, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf, DocumentComponentEntry
Q4.32, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1558/paper5.pdf, DocumentComponentEntry
Q4.33, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1558/paper9.pdf, DocumentComponentEntry
Q4.34, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1559/paper04.pdf, DocumentComponentEntry
Q4.35, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1559/paper05.pdf, DocumentComponentEntry
Q4.36, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1559/paper07.pdf, DocumentComponentEntry
Q4.37, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1560/paper2.pdf, DocumentComponentEntry
Q4.38, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf, DocumentComponentEntry
Q4.39, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf, DocumentComponentEntry
Q4.40, Identify the first-level sections of the paper http://ceur-ws.org/Vol-1567/paper2.pdf, DocumentComponentEntry
Q5.1, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1006/paper2.pdf, DocumentComponentEntry
Q5.2, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1044/paper-01.pdf, DocumentComponentEntry
Q5.3, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1116/paper1.pdf, DocumentComponentEntry
Q5.4, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1116/paper6.pdf, DocumentComponentEntry
Q5.5, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, DocumentComponentEntry
Q5.6, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1215/paper-05.pdf, DocumentComponentEntry
Q5.7, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1303/paper_4.pdf, DocumentComponentEntry
Q5.8, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1313/paper_11.pdf, DocumentComponentEntry
Q5.9, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1313/paper_13.pdf, DocumentComponentEntry
Q5.10, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, DocumentComponentEntry
Q5.11, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1313/paper_4.pdf, DocumentComponentEntry
Q5.12, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1315/paper15.pdf, DocumentComponentEntry
Q5.13, Identify the captions of the tables in the paper http://ceur-ws.org/Vol-1315/paper3.pdf, DocumentComponentEntry
